Timestamp,Sensor 1 Raw Value,Sensor 1 Voltage (V),Sensor 1 Resistance (Ohm),Sensor 1 Force (g),Sensor 1 Force (N),Sensor 2 Raw Value,Sensor 2 Voltage (V),Sensor 2 Resistance (Ohm),Sensor 2 Force (g),Sensor 2 Force (N),Sensor 3 Raw Value,Sensor 3 Voltage (V),Sensor 3 Resistance (Ohm),Sensor 3 Force (g),Sensor 3 Force (N)
17:00:50.374,-1.0000,0.0000,499999900000.0,0.0,0.000,-1.0000,0.0000,499999900000.0,0.0,0.000,58401.0000,2.2541,121815.0,4.2,0.041
17:00:52.046,-1.0000,0.0000,499999900000.0,0.0,0.000,-1.0000,0.0000,499999900000.0,0.0,0.000,60236.0000,2.3238,115166.4,4.5,0.044
17:00:53.718,-1.0000,0.0000,499999900000.0,0.0,0.000,-1.0000,0.0000,499999900000.0,0.0,0.000,60461.0000,2.3390,113767.1,4.6,0.045
17:00:55.388,-1.0000,0.0000,499999900000.0,0.0,0.000,-1.0000,0.0000,499999900000.0,0.0,0.000,60652.0000,2.3490,112853.5,4.6,0.045
17:00:57.058,-1.0000,0.0000,499999900000.0,0.0,0.000,-1.0000,0.0000,499999900000.0,0.0,0.000,60823.0000,2.3532,112472.9,4.7,0.046
17:00:58.729,-1.0000,0.0000,499999900000.0,0.0,0.000,-1.0000,0.0000,499999900000.0,0.0,0.000,60803.0000,2.3540,112403.2,4.7,0.046
17:01:00.399,-1.0000,0.0000,499999900000.0,0.0,0.000,-1.0000,0.0000,499999900000.0,0.0,0.000,60941.0000,2.3552,112298.7,4.7,0.046
17:01:02.072,-1.0000,0.0000,499999900000.0,0.0,0.000,-1.0000,0.0000,499999900000.0,0.0,0.000,60835.0000,2.3549,112326.6,4.7,0.046
17:01:03.742,-1.0000,0.0000,499999900000.0,0.0,0.000,-1.0000,0.0000,499999900000.0,0.0,0.000,60766.0000,2.3522,112563.6,4.6,0.046
17:01:05.412,-1.0000,0.0000,499999900000.0,0.0,0.000,-1.0000,0.0000,499999900000.0,0.0,0.000,60781.0000,2.3525,112539.1,4.6,0.046
17:01:07.086,-1.0000,0.0000,499999900000.0,0.0,0.000,-1.0000,0.0000,499999900000.0,0.0,0.000,60904.0000,2.3541,112392.7,4.7,0.046
17:01:08.756,-1.0000,0.0000,499999900000.0,0.0,0.000,-1.0000,0.0000,499999900000.0,0.0,0.000,60793.0000,2.3550,112316.1,4.7,0.046
17:01:10.426,-1.0000,0.0000,499999900000.0,0.0,0.000,-1.0000,0.0000,499999900000.0,0.0,0.000,60728.0000,2.3493,112825.6,4.6,0.045
17:01:12.098,-1.0000,0.0000,499999900000.0,0.0,0.000,-1.0000,0.0000,499999900000.0,0.0,0.000,60876.0000,2.3575,112090.1,4.7,0.046
17:01:13.772,-1.0000,0.0000,499999900000.0,0.0,0.000,-1.0000,0.0000,499999900000.0,0.0,0.000,61112.0000,2.3631,111584.2,4.7,0.046
17:01:15.442,-1.0000,0.0000,499999900000.0,0.0,0.000,-1.0000,0.0000,499999900000.0,0.0,0.000,60978.0000,2.3593,111927.0,4.7,0.046
17:01:17.113,-1.0000,0.0000,499999900000.0,0.0,0.000,-1.0000,0.0000,499999900000.0,0.0,0.000,61055.0000,2.3676,111187.4,4.7,0.046
17:01:18.784,-1.0000,0.0000,499999900000.0,0.0,0.000,-1.0000,0.0000,499999900000.0,0.0,0.000,63642.0000,2.4525,103876.3,5.2,0.051
17:01:20.454,-1.0000,0.0000,499999900000.0,0.0,0.000,-1.0000,0.0000,499999900000.0,0.0,0.000,64085.0000,2.4781,101767.1,5.4,0.053
17:01:22.125,-1.0000,0.0000,499999900000.0,0.0,0.000,-1.0000,0.0000,499999900000.0,0.0,0.000,64079.0000,2.4774,101823.7,5.3,0.052
17:01:23.796,-1.0000,0.0000,499999900000.0,0.0,0.000,-1.0000,0.0000,499999900000.0,0.0,0.000,64041.0000,2.4813,101503.4,5.4,0.053
17:01:25.466,-1.0000,0.0000,499999900000.0,0.0,0.000,-1.0000,0.0000,499999900000.0,0.0,0.000,64079.0000,2.4817,101478.4,5.4,0.053
17:01:27.136,-1.0000,0.0000,499999900000.0,0.0,0.000,-1.0000,0.0000,499999900000.0,0.0,0.000,64227.0000,2.4839,101296.7,5.4,0.053
17:01:28.807,-1.0000,0.0000,499999900000.0,0.0,0.000,-1.0000,0.0000,499999900000.0,0.0,0.000,64231.0000,2.4857,101152.9,5.4,0.053
17:01:30.480,-1.0000,0.0000,499999900000.0,0.0,0.000,-1.0000,0.0000,499999900000.0,0.0,0.000,64379.0000,2.4900,100806.7,5.4,0.053
17:01:32.150,-1.0000,0.0000,499999900000.0,0.0,0.000,-1.0000,0.0000,499999900000.0,0.0,0.000,64283.0000,2.4882,100946.9,5.4,0.053
17:01:33.821,-1.0000,0.0000,499999900000.0,0.0,0.000,-1.0000,0.0000,499999900000.0,0.0,0.000,64305.0000,2.4897,100825.3,5.4,0.053
17:01:35.491,-1.0000,0.0000,499999900000.0,0.0,0.000,-1.0000,0.0000,499999900000.0,0.0,0.000,64583.0000,2.4993,100059.1,5.5,0.054
17:01:37.162,-1.0000,0.0000,499999900000.0,0.0,0.000,-1.0000,0.0000,499999900000.0,0.0,0.000,64597.0000,2.4994,100046.7,5.5,0.054
